Pool_0,Pool_1,Pool_2,Pool_3
0,0,4.88045,0
0,0,4.07349,0
0,0,4.21434,0
0,0,3.93532,0
0,0,3.57566,0
0,0,2.51978,0
0,0,0.453192,0
0,0,0.126322,0
0,0,0,0
0,0,0.387604,0
0,0,1.0865,0
0,0,1.53649,0
0,0,0.183849,0
0,0,0.183849,0
0,0,0.276856,0
0,0,0.276856,0
0,0,1.08382,0
0,0,0.601039,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.754259,0
0,0,1.84024,0
0,0,2.05636,0
0,0,1.71444,0
0.693539,0,1.60369,0
0.785515,0,1.58864,0
0.785515,0,1.58864,0
1.52889,0,1.97572,0
2.08624,0.660441,2.59667,0
2.8279,1.36509,2.59667,0
2.73386,0.381419,1.61875,0
2.45587,1.6047,1.71175,0
3.28984,1.29888,0.592977,0
4.2182,2.37555,0.98006,0
4.96191,2.41497,1.63111,0
5.14758,2.20215,1.81713,0
4.40559,2.01614,1.72412,0
5.24059,2.60098,1.3193,0
5.88992,2.78699,0.479542,0.277503
6.07731,3.95668,0.602656,0.929043
5.89267,3.53105,0.104825,1.08373
6.72733,3.71707,0.0268713,1.08324
7.284,3.59726,0.212886,1.33191
6.35668,4.02289,0,1.39408
7.09765,2.7066,0,0.990234
6.7263,2.52059,0,0.990723
7.3777,3.26465,0.506962,1.23744
7.74904,3.75648,0.00913084,1.67213
7.28607,4.46113,0.785984,1.88947
6.91541,5.99022,0.444061,1.45429
6.45072,5.00656,0.911785,1.39359
6.35874,5.49839,1.78165,1.51695
6.82206,5.19257,2.30958,1.95212
7.00704,4.79374,2.90042,1.92129
7.37907,4.55414,2.93053,2.85283
7.10177,4.74015,3.11654,3.66052
7.37873,4.76695,2.83752,3.63017
7.75007,5.25878,2.16873,4.12702
8.40147,6.00284,3.93856,5.43059
8.95642,6.33546,4.00146,6.76793
9.23613,5.88304,3.61169,7.48164
9.04908,6.02964,3.8305,7.63828
8.95401,5.99022,2.83752,7.79541
8.48966,5.09956,2.72946,8.0759
7.65225,5.39277,2.31227,7.51883
7.65328,6.28343,2.59129,8.23303
7.83861,6.58925,2.66925,8.69953
7.18825,5.81839,2.36012,8.63834
6.72493,5.20675,2.1112,9.44701
5.98087,4.76851,1.72412,9.0133
6.0725,3.87785,2.12894,9.29379
6.90579,3.69184,2.45581,8.92127
6.81416,4.27668,3.7606,9.3868
7.27782,3.75805,4.70842,9.16897
7.46418,3.42543,5.31431,9.0133
5.5148,2.49536,4.6482,7.70973
5.33016,3.29301,5.26915,7.08757
4.77143,2.85477,4.69605,5.47316
3.93608,2.48274,4.66594,4.41728
3.84411,2.97457,5.4428,4.47896
3.4707,2.23052,4.35682,3.20672
3.00704,1.83169,4.69874,2.70938
2.54097,0,3.61276,2.08965
3.56096,1.27364,4.04769,1.87182
2.63329,0.994622,3.93963,0.877626
3.00463,1.18064,5.07345,0.690634
4.20926,2.40391,4.73153,0.441963
3.74457,2.03188,4.43746,0.00776547
3.27953,0.955209,3.7864,0
3.18755,0.529585,4.31434,0
3.00223,0.835404,5.35516,0
2.81759,0.409781,6.56695,0
4.02222,0.409781,6.6449,0
4.20789,0.196969,6.65996,0
5.1383,1.83169,6.64221,0
3.93093,0.170172,5.54118,0
2.53753,0,4.71917,0
3.55993,0.688803,5.80515,0
2.81724,0.316773,5.60408,0
3.28194,0.382984,5.57129,0
3.18824,0.7156,4.85733,0
3.09627,0,4.09553,0
2.81827,0,3.84662,0
2.81862,0,2.40097,0
2.35427,0,2.38592,0
2.63329,0,2.30797,0
2.35289,0,1.20693,0
1.79726,0,1.82788,0
1.89095,0,2.46387,0
1.33634,0,2.24506,0
0.594345,0,2.12195,0
1.0611,0,2.7101,0
1.89817,0,3.45416,0
0.692164,0,2.55419,0
1.34253,0,2.77032,0
1.15754,0,2.17948,0
0,0,1.8854,0
0,0,1.38757,0
0,0,1.27951,0
0,0,0.79942,0
0,0,0.796732,0
0,0,0.346749,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1.63649,0
0,0,0.193528,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0580475,0
0,0,0,0
0,0,0.29191,0
0,0,0.927908,0
0,0,1.54885,0
0,0,1.70476,0
0,0,1.08382,0
0,0,1.50369,0
0,0,2.43645,0
0,0,0.852641,0
0,0,1.59939,0
0,0,0.294597,0
0,0,0.465558,0
0,0,1.32037,0
0,1.27521,2.51441,0
0,0.477556,1.7225,0
0,0,2.32839,0
0,0,0.528459,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.156429,0
0,0,0.513405,0
0,0,0.357497,0
0,0.663571,2.23539,0
0,0.849585,3.86705,0
0,0,3.97779,0
0,0,2.56494,0
0,0,2.037,0
0,0,3.07783,0
0,0.345135,3.44986,0
0,0,2.50204,0
0,0,1.9112,0
0,0,1.52143,0
0,0.357751,1.31768,0
0,0.543766,1.50369,0
0,0.795991,1.42574,0
0,0.769194,0.477924,0
0,1.54005,1.20693,0
0,1.10181,0,0
0,0,0.259116,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.304157,0,0
0,0.609976,0,0
0,1.19482,0,0
0,2.64352,0,0
0,2.12489,0,0
0,2.77594,0,0
0,2.89575,0,0
0,3.75961,0,0
0,4.55727,0,0
0,4.59668,0,0
0,4.63609,0,0
0,4.63609,0,0
0,4.88832,0,0
0,4.88832,0,0
0,4.5825,0,0
0,4.39648,0,0
0,4.76851,0,0
0,2.22895,0,0
0,0.885869,0,0
0,0.699854,0,0
0,0.606847,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.542443,0
0,0.0346213,1.66122,0
0,0.193839,2.03325,0
0.239156,2.02875,2.03325,0
0.981153,2.21477,3.15202,0
0.981153,0.991492,3.16708,0
0,0.301027,1.52305,0
0.0503915,0.487042,2.45581,0
0,0,1.97572,0
0,0,1.55584,0
0,0,1.13866,0
0.0428306,0,1.1236,0
0.228845,0.767629,1.74455,0
0.137213,1.65829,1.49563,0
0.508555,1.8443,2.02357,0
0.323228,1.23267,1.83755,0
0.78689,2.54895,2.35044,0
0.601562,3.16059,2.53645,0
0.416579,2.64196,2.3956,0
0.415548,2.36294,2.19453,0
0.138587,2.03032,2.03862,0
0.880928,2.61516,1.80476,0
1.25193,2.09653,1.64885,0
2.27192,2.28254,1.92787,0
2.27088,2.61516,0.701038,0
2.45724,3.50582,1.15102,0
2.36355,3.2268,0.281161,0
2.73558,3.59883,0.311268,0
2.73661,4.48949,0.0774057,0
2.27054,3.43961,0,0
3.19924,3.38602,0,0
3.29293,4.27668,0,0
4.59091,4.46269,0,0
5.24265,5.60558,0.68061,0.214358
5.24265,4.99394,0.509649,0
4.50203,4.87414,0,0.0273656
4.59366,5.20675,0,0
4.59435,4.78113,0,0
5.15102,5.57878,0.260733,0
5.42936,5.97761,1.64348,0.244709
5.89405,5.43218,0.818778,1.02058
5.89405,6.04382,0.740824,1.08275
6.45072,6.84147,0.584916,1.51744
5.614,6.09741,0.353741,1.20855
5.98465,5.79159,0.695664,1.02205
4.86994,3.82426,0,0.153656
5.7046,4.31609,0,0.277503
6.16895,3.37184,0.24568,0.556525
5.79589,4.24988,0,0
5.33119,3.87785,0,0
4.86547,3.83844,0,0
4.12175,2.88157,0,0
3.10211,4.62348,0,0
2.4514,4.37125,0,0
2.54475,3.63981,0,0
2.73008,3.02817,0,0
2.08109,3.5468,0,0
1.52304,4.21203,0,0
0.407643,2.67032,0,0
0,2.3913,0,0
0,2.3913,0,0
0,2.29829,0,0
0,0.996187,0,0
0,0.252128,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.00589543,0
0,0,0.827909,0
0.118998,0,0.312337,0
0,0,0,0
1.32431,0,0.777374,0
1.51033,0,0.0306279,0
2.25164,0,0,0
2.99776,0,0.72684,0
3.27781,0,0.849954,0
3.74251,0,0.880061,0
4.11419,0,0.832213,0
4.94988,0,1.20424,0
5.78661,0,1.34241,0
5.69497,0,1.20156,0
5.69532,0,1.04565,0
6.62505,0,1.88271,0
6.53342,0,1.72681,0
7.36945,0,1.60101,0
7.83621,0,1.67627,0
8.30193,0,1.9854,0
7.83861,0,0.881678,0
8.02635,0,0.677923,0
8.02703,0,0.180092,0
7.84342,0,0.645129,0
7.93643,0,0.738137,0
7.93712,0,0.582229,0
7.19718,0,0.612335,0
7.57196,0,1.3865,0
8.31396,0,0.282779,0
8.13001,0,0.654808,0
8.31636,0,0.172031,0
8.7814,0,0.295145,0
9.43177,0,0.418259,0
8.78415,0,0.262351,0
8.78587,0,0.976304,0
7.02423,0,0.790289,0
7.30256,0,0.541373,0
7.58055,0,1.05426,0
7.85889,0,0.0284891,0
7.95293,0,0.556427,0
8.23195,0,0.850502,0
7.76794,0,0.850502,0
7.85923,0,0,0
7.85958,0,0,0
6.93225,0,0,0
6.65392,0,0,0
5.91192,0,0,0
6.09725,0,0,0
5.72522,0,0,0
5.81616,0,0,0
5.90917,0,0,0
6.46309,0,0,0
6.74108,0,0,0
5.99771,0,0,0
5.90367,0,0,0
6.27398,0,0.00375657,0
5.3446,0,0.285466,0
4.41246,0,0,0
4.41143,0,0,0
4.40765,0,0,0
4.59229,0,0,0
4.0339,0,0,0
3.1052,0,0,0
3.10451,0,0,0
3.47517,0.0755994,0.0951463,0
3.47483,0,0.344062,0
2.63638,0,0,0
1.61571,0,0,0
1.52339,0,0,0
1.42935,0,0,0
0.593658,0,0,0
0.127933,0,0,0
0,0,0,0
0.0325204,0,0,0
0.0345824,0,0,0
0,0,0,0
0,0,0,0
0,0.357751,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.600188,0,0,0
0.415548,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.709004,0,0,0
1.35868,0,0,0
2.01042,0,0,0
2.38245,0,0,0
3.0311,0,0,0
3.40175,0,0,0
3.68043,0,0,0
4.23779,0,0,0
4.61016,0,0,0
4.79549,0,0,0
4.61153,0,0,0
4.79755,0,0,0
4.8909,0.0173107,0,0
5.63358,0.38934,0,0
5.26224,0.203325,0,0
5.44688,0,0,0
4.61153,0,0,0
4.14684,0,0,0
3.77619,0,0,0
4.33217,0,0.606961,0
4.42243,0,0,0
4.42174,0,0,0
4.60569,0,0,0
4.512,0.231687,0,0
4.14065,0.0456726,0,0
4.69698,0.444499,0,0
5.9023,1.24215,0,0
5.99565,0.816529,0,0
6.3663,2.03981,0.252672,0
6.45862,1.33516,0.0666572,0
5.53061,0,0,0
5.53061,1.26895,0.129558,0
5.62259,1.08293,0,0
5.80723,0.89692,0,0
5.71422,2.02719,0,0
5.89817,1.65516,0,0
6.17548,1.46915,0,0
6.82447,2.17379,0,0
6.36012,2.50641,0,0
6.73077,3.72968,0.102138,0
6.6357,2.77281,0,0
6.44831,2.21477,0,0
7.37357,1.84274,0,0
7.18756,2.57418,0,0
6.81656,3.09281,0,0
8.02222,3.98347,1.00748,0
7.83586,4.31609,0.977373,0
6.16585,4.98132,0.761251,0
6.81484,5.07433,0.854259,0
6.16551,4.27668,1.52305,0
5.60815,3.90465,0.98006,0
6.16276,3.53262,0.515023,0
5.5148,2.49536,1.32198,0
6.07216,2.86739,1.508,0
6.7208,2.86739,1.508,0
6.90648,2.96039,2.37786,0
6.72149,2.74758,3.32567,0
6.44419,3.54524,3.26277,0
7.09283,3.54524,2.92085,0
7.46349,3.54524,2.237,0
7.55615,3.85105,1.21124,0
7.00086,4.64871,1.73917,0
7.37151,3.73125,2.0811,0
8.20514,5.47316,2.57893,0
7.74148,4.76851,1.86497,0
7.73976,3.69184,1.49294,0
7.27507,2.09653,1.81981,0
8.38978,3.75805,2.22195,0
8.9468,4.34289,2.50097,0
9.31745,4.95453,2.50097,0
10.3392,6.52304,2.8101,0
12.5651,7.69272,2.26442,0
12.7505,7.69272,3.11923,0.337227
14.1415,7.05428,2.37248,1.05142
13.5827,7.22768,1.2865,0.556036
14.2303,6.33702,1.3494,0.525686
14.9727,6.61604,1.36446,1.02254
16.4574,8.09155,2.09346,1.61142
16.6427,6.86827,2.09346,2.2331
15.9021,6.44265,2.6214,2.94779
14.6957,5.97761,3.10418,2.70009
14.2345,5.92401,3.49126,3.75548
14.2358,6.90768,3.86329,4.31401
13.7715,6.62866,3.14934,4.15933
12.9355,6.07062,3.10418,4.00562
12.747,4.92773,1.67627,3.7589
12.9313,4.34289,0.620397,3.82205
12.2806,4.39648,0.0623524,3.29484
12.5572,4.63609,0,3.10932
13.2059,4.02445,0,3.54449
13.2049,4.96871,0,3.45197
13.2042,4.17105,0,3.51463
11.9989,3.98504,0,3.07994
11.3502,3.98504,0,3.23561
11.2575,2.45594,0,3.14211
12.1856,4.05125,0,3.51414
10.2338,2.47012,0,2.05735
10.2331,3.81321,0,1.52966
9.02709,3.747,0,1.03329
9.39568,3.49477,0,0.692589
8.18933,3.64137,0,0.227552
7.07531,2.77751,0,0
6.70603,1.31462,0,0
6.24271,0.397164,0,0
6.61302,0,0,0
5.86999,0,0,0
5.68501,0,0,0
5.59166,0,0,0
4.19861,0,0,0
3.54652,0,0,0
3.82692,0,0,0
3.08527,0,0,0
1.69325,0,0,0
1.88098,0,0,0
0.0253031,0,0,0
0.213724,1.26259,0,0
0,0.704549,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1.19795,0,0
0,1.31775,0,0
0,2.0492,0,0
0,1.73076,0,0
0,2.00978,0,0
0,2.71443,0,0
0,2.3692,0,0
0,2.92724,0,0
0,3.6981,0,0
0,4.21673,0,0
0,3.51208,0,0
0,2.95404,0,0
0,2.24939,0,0
0,1.79697,0,0
0,1.88998,0,0
0,1.65037,0,0
0,3.33868,1.88647,0
0,3.39228,0.893496,0
0,4.37594,0.923603,0
0,3.85731,2.29129,0
0,1.92939,2.19829,0
0,1.07814,3.00525,0
0,0,1.79346,0
0,0,2.04238,0
0,0.0944749,1.52949,0
0,0,2.75633,0
0,0,2.60042,0
0,0,2.94503,0
0,0,3.69178,0
0,0,3.3977,0
0,0,4.90356,0
0,0,4.02134,0
0,0,3.05847,0
0,0,2.93267,0
0,0,2.56064,0
0,0,3.80253,0
0,0,3.04073,0
0,0,3.84769,0
0,0,4.26756,0
0,0,4.17456,0
0,0,3.55361,0
0,0,2.68375,0
0,0,2.31172,0
0,0,2.85471,0
0,0,2.44989,0
0,0,1.73594,0
0,0,1.79615,0
0,0,2.10528,0
0,0,1.82357,0
0,0,1.79078,0
0,0,1.88378,0
0,0,1.86604,0
0,0,1.95905,0
0,0,0.963389,0
0,0,1.87841,0
0,0,2.17249,0
0,0,2.28055,0
0,0,2.40366,0
0,0,2.18485,0
0,0,1.3451,0
0,0,0.691359,0
0,0,1.2494,0
0,0,0.688672,0
0.878179,0,0.547817,0
1.80825,0,1.47789,0
1.53026,0,0.0322456,0
1.90263,0,0,0
1.90126,0,0,0
2.73936,0,0,0.153167
2.36939,0,0,0
2.64807,0,0,0.0278543
2.83546,0,0,0.24422
2.55609,0,0,0.276037
2.55678,0,0,0.151213
2.74486,0,0,0
1.90916,0,0,0
2.46618,0,0,0
2.5585,0,0,0
3.20886,0,0,0
2.8358,0,0,0
2.09243,0,0,0
2.55644,0,0,0
3.20543,0,0,0
4.50409,0,0,0
4.22473,0,0,0
4.22335,0,0,0
4.77865,0,0,0
5.14999,0,0,0
5.614,0,0,0
6.07697,0,0,0
5.70528,0,0,0
5.89096,0,0.24568,0
5.05526,0,0,0
5.05389,0,0,0
5.14587,0.20802,0,0
5.23715,1.97673,0.21826,0
5.05148,3.107,0.125253,0
4.95882,3.71863,0.125253,0
4.58748,3.53262,0,0
4.40181,3.43961,0,0
4.40181,2.82797,0.0171922,0
4.95779,2.82797,0,0
4.30708,2.26993,0,0
3.65706,1.8979,0,0
4.12141,2.17692,0,0
5.32569,2.38973,0,0
4.95607,2.05712,0,0
4.40077,2.24313,0,0
3.56646,1.53849,0,0
4.03184,1.48489,0,0
3.66118,2.09653,0,0
3.29156,2.37555,0.731145,0
3.38525,3.26621,0.404275,0
2.73626,3.17321,0.233314,0
3.57161,3.23942,0.605343,0
3.29397,3.33242,0.683297,0
2.6436,3.47902,0.653191,0
2.73592,2.16274,1.33704,0
1.90092,2.80118,0,0
1.62258,3.31981,0,0
1.9016,3.59883,0,0
2.08693,4.51629,0.125253,0
2.6436,4.09066,0.15536,0
2.18097,4.27668,0,0
1.16098,3.47902,0,0
1.44103,3.73125,0,0
1.53439,3.91726,0.0446119,0
1.7204,2.26836,0.230627,0
1.34975,1.96254,0,0
2.46309,1.72294,0,0
1.90573,1.96254,0,0
1.90504,2.08235,0,0
2.3687,0.952079,0,0
2.18372,0.433448,0,0
2.55506,1.2311,0,0
1.3494,1.2579,0,0
0.511648,0.234817,0,0
0.604999,0,0,0
0.977716,0.367238,0,0
0.885396,0.460245,0,0
1.44275,1.44391,0.308581,0
1.9071,1.1113,0.509649,0
1.62911,0.499658,0.260733,0
1.9071,0.805478,0,0
2.74314,1.97516,0.72577,0
2.09415,1.88215,1.40962,0
1.0721,0.526455,0.914472,0
0.0510789,0.673057,0.107513,0
0,0.885869,0.698351,0
0.237094,1.16489,1.3193,0
0.143743,4.03707,0.791358,0
0,4.46269,0.761251,0
0,4.46269,0.0774057,0
0,2.92098,0,0
0,3.2268,0,0
0,2.85477,0,0
0,2.15012,0,0
0,2.38973,0,0
0,1.99091,0,0
0,1.9247,0,0
0,2.32352,0,0
0,3.21418,0,0
0,3.63981,0,0
0,3.21418,0,0
0,3.82582,0,0
0,2.0445,0,0
0,1.22005,0,0
0.0417996,1.83169,0,0
0.22644,2.86895,0,0
0.0383629,3.65399,0,0
0.224721,3.32137,0,0
0,4.35863,0,0
0,4.29242,0,0
0,4.13321,0,0
0,2.20528,0,0
0,2.81692,0,0
0,1.83325,0,0
0,1.22161,0,0
0,0.330954,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.423962,0,0
0,0.423962,0,0
0.0363008,1.26103,0,0
0.314979,0.835404,0,0
0.130683,0.502788,0,0
0.68804,0.263179,0,0
0.68804,0.263179,0,0
1.1517,0,0,0
1.98946,0,0,0
3.10451,0.0755994,0,0
3.38216,0,0,0
3.75453,0,0,0
3.6605,0,0,0
4.40421,0,0,0
4.77762,0,0,0
6.54269,0,0.740824,0
7.7487,0,0.599969,0
8.02703,0,0.351054,0
8.67568,0,0.351054,0
9.232,0,0,0
9.50896,0,0,0
10.8076,0.272665,0,0
10.9,0.179658,0,0
11.1779,0.179658,0,0
10.8052,0.233252,0,0
11.0836,0.937898,0,0
11.7322,0.32626,0.149985,0
11.7336,1.92157,0.863938,0
12.1035,1.12391,0.336,0
12.7532,0.485477,0.785984,0
13.4942,1.00411,0.863938,0
13.1215,2.28098,0.305894,0
13.4008,3.26465,0.336,0
12.1911,1.86954,0,0
11.8197,1.07188,0,0
12.1914,0.739267,0,0
11.3557,0,0,0
8.47867,0,0,0
6.99227,0,0,0
5.4132,0,0,0
4.76318,0,0,0
3.09145,0,0,0
2.25507,0,0,0
0.677386,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.198667
0,0,0,1.96923
0,0,0,2.12587
0,0,0,3.92727
0,0,0,4.73447
0,0,0,7.15951
0,0,0,9.20909
0,0,0,9.86308
0,0,0.538138,9.95657
0,0,0.724153,11.479
0,0.874818,2.0741,12.9999
0,0.874818,1.63917,12.969
0,0.356186,0.691359,13.8707
0,0.568998,0.676305,14.9276
0,0.755013,0.535451,16.3878
0,0.728216,2.11926,18.3762
0.972561,2.64196,2.73752,20.2999
1.15754,1.93731,2.30259,21.0773
1.34322,2.03032,2.56656,22.2893
2.17994,3.38602,2.78268,24.7741
2.7373,2.53477,2.89074,25.6131
3.5723,2.81379,3.26277,26.1711
4.68495,2.99981,3.54179,26.4506
5.14724,2.72078,2.92085,25.7051
4.96123,1.31149,2.56387,24.0584
5.70253,0.699854,2.39291,23.2502
6.72149,0,3.07676,23.4367
6.81381,0,3.32567,23.1572
6.90716,0,3.16976,23.5297
8.02119,0,3.29288,23.3109
8.39184,0,3.19987,22.4714
8.48313,0,2.57893,21.6334
8.48245,0,2.65688,21.7269
8.76112,0,2.40796,20.7939
9.22651,0.220636,2.28216,20.0155
9.78249,0,2.20421,19.7977
9.96747,0,2.45313,19.2074
10.1528,0,1.76928,18.9587
10.2458,0.220636,2.20421,18.3057
10.0608,0.313644,2.12626,18.0257
10.1538,1.93575,2.73215,16.9997
10.0605,1.74973,3.05902,16.2541
9.96782,1.74973,3.05902,15.073
9.78318,1.93575,2.88806,14.6065
10.3385,0.526455,2.36012,13.7366
9.77974,0,1.80207,12.899
10.0564,0,1.43004,11.8432
11.0767,0.606847,1.95798,11.7183
