TF_A,TF_B,TF_C,TF_D,TF_E,TF_F,TF_G,TF_H,TF_I,TF_J
14.4478,0,0,0,0,0,0,21.23,0,0
14.536,0,0,0,0,0,0,21.8176,0,0
14.0687,0,0,0,0,0.225053,0,23.2007,0,0
13.384,0,0,0,0,0.216042,0,22.134,0,0
12.81,0,0,0,0,0.550612,0,21.7746,0,0
12.1356,0,0,0,0,0.634254,0,21.2752,0,0
10.4568,0,0,0,0,0,0,20.1022,0,0
9.70451,0,0,0,0,0,0,19.8242,0,0
8.79847,0,0,0,0,0,0,20.0411,0,0
7.66079,0,0,0,0,0,0,20.493,0,0
8.98503,0,0,0,0,0,0,21.9259,0,0
7.80227,0,0,0,0,0,0,21.5665,0,0
7.16893,0,0,0,0,0,0,21.709,0,0
6.42892,0,0,0,0,0,0,20.8502,0,0
5.2359,0,0,0,0,0,0,19.3088,0,0
5.45728,0,0,0,0,0,0,18.493,0,0
4.82393,0,0,0,0,0,0,18.762,0,0
3.00159,0,0,0,0,0,0,17.8489,0,0
2.22879,0,0,0,0,0,0,17.4398,0,0
2.13862,0,0,0,0,0,0,17.5393,0,0
1.43967,0,0,0,0,0,0,17.4308,0,0
0.974372,0,0,0,0,0,0,17.006,0,0
0,0,0,0,0,0,0,14.9447,0,0
0,0,0,0,0,0,0,14.7662,0,0
0,0,0,0,0,0,0,14.0023,0,0
0,0,0,0,0,0,0,14.2124,0,0
0,0,0,0,0,0,0,12.6462,0,0
0,0,0,0,0,0,0,12.3999,0,0
0,0,0,0,0,0,0,12.922,0,0
0,0,0,0,0,0,0,11.7558,0,0
0,0,0,0,0,0,0,11.9478,0,0
0,0,0,0,0,0,0,11.7399,0,0
0,0,0,0,0,0,0,11.95,0,0
0,0,0,0,0,0,0,12.0766,0,0
0,0,0,0,0,0,0,12.3816,0,0
0,0,0,0,0,0,0,12.4449,0,0
0,0,0,0,0,0,0,12.8789,0,0
0,0,0,0,0,0,0,12.9308,0,0
0,0,0,0,0,0,0,12.5669,0,0
0,0,0,0,0,0,0,12.5645,0,0
0,0,0,0,0,0,0,12.4832,0,0
0,0,0,0,0,0,0,13.464,0,0
0,0,0,0,0,0,0,14.7906,0,0
0,0,0,0,0,0,0,14.6119,0,0
0,0,0,0,0,0,0,14.4446,0,0
0,0,0,0,0,0,0,13.71,0,0
0,0,0,0,0,0,0,14.7541,0,0
0,0,0,0,0,0,0,15.8479,0,0
0,0,0,0,0,0,0,17.0299,0,0
0,0,0,0,0,0,0,18.0423,0,0
0,0,0,0,0,0,0,18.9893,0,0
0,0,0,0,0,0,0,20.1464,0,0
0,0,0,0,0,0,0,20.8311,0,0
0,0,0,0,0,0,0,20.8514,0,0
0,0,0,0,0,0,0,21.0276,0,0
0,0,0,0,0,0,0,22.51,0,0
0,0,0,0,0,0,0,22.4241,0,0
0,0,0,0,0,0,0,23.5495,0,0
0,0,0,0,0,0,0,24.4738,0,0
0,0,0,0,0,0,0,26.4784,0,0
0,0,0,0,0,0,0,27.9203,0,0
0,0,0,0,0,0,0,29.4729,0,0
0,0,0,0,0,0,0,30.8831,0,0
0,0,0,0,0,0,0,32.603,0,0
0,0,0,0,0,0,0,34.2776,0,0
0,0,0,0,0,0,0,35.8415,0,0
1.8738,0,0,0,0,0,0,40.0542,1.13544,0
2.03984,0,0,0,0,0,0,41.8757,1.52484,0
3.03201,0,0,0,0,0,0,43.7199,0.0185591,0
4.13487,0,0,1.1484,0,0,0,45.955,1.22697,0
3.57318,0,0,0,0,0,0,46.8567,0.848705,0
3.69413,0,0,0.872793,0,0,0,47.4375,1.025,0
4.44843,0,0,0.443216,0,0,0,48.642,1.14996,0
5.18843,0,0,1.70962,0,0,0,50.3799,2.1564,0
5.51848,0,0,3.63654,0,0,0,52.9088,2.11959,0
4.93626,0,0,2.57877,0,0,0,52.3189,0.106707,0
2.82895,0,0,0,0,0,0,51.6113,0,0
2.59731,0,0,0,0,0,0,50.6757,0,0
2.10324,0,0,0,0,0,0,48.7185,0,0
2.19964,0,0,0,0,0,0,48.2982,0,0
2.58504,0,0,0,0,0,0,47.9977,0,0
3.36811,0,0,1.13607,0,0,0,47.5074,0,0
3.35583,0,0,0.893954,0,0,0,47.5639,0,0
5.0224,0,0,1.36819,0,0,0,48.798,0,0
4.59192,0,0,0.861628,0,0,0,47.5979,0,0
4.22705,0.131007,0,1.0156,0,0,0,47.2115,0,0
4.92398,1.11656,0,2.50178,0,0,0,47.2182,0,0
4.45869,2.66946,0,3.17347,0,0,0,46.99,0,0
4.26187,1.96427,0,1.64263,0,0,0,45.6882,0,0
4.23933,0.890565,0,1.97289,0,0,0,43.7402,0,0
6.09447,1.35382,0,3.053,0,0,0,42.7912,0,0
5.61689,2.22405,0,3.40559,0,0,0,40.2963,0,0
4.9753,2.56538,0,2.65692,0,0,0,39.0442,0,0
5.04091,2.78012,0,3.31744,0,0,0,37.8036,0,0
5.29509,2.78012,0,2.98718,0,0,0,35.9166,0,0
5.42832,2.90671,0,3.55956,0,0,0,32.9312,0,0
2.97666,1.67264,0,2.32549,0,0,0,30.3231,0,0
3.39688,1.11656,0,2.2485,0,0,0,28.6214,0,0
3.87244,1.5076,0,3.58072,0,0,0,26.5513,0,0
3.42144,0.802417,0,2.30316,0,0,0,24.5806,0,0
2.68143,0,0,1.444,0,0,0,23.0257,0,0
2.79212,0,0,1.11374,0,0,0,22.0449,0,0
1.94143,0,0,0.684164,0,0,0,20.655,0,0
1.28957,0,0,0.749983,0,0,0,19.0617,0,0
1.79793,0,0,0,0,0,0,19.2629,0,0
2.50514,0.223824,0,0.596016,0,0,0,19.5657,0,0
2.68968,1.44664,0,1.31237,0,0,0,19.9161,0,0
3.57116,2.28968,0,1.62147,0,0,0,20.3727,0,0
3.90524,1.46916,0,1.6103,0,0,0,19.7354,0,0
2.79011,1.79923,0,1.90707,0,0,0,18.6822,0,0
2.60153,0,0,0,0,0,0,17.7262,0,0
2.81063,0,0,0,0,0,0,17.428,0,0
2.69994,0.131007,0,0,0,0,0,17.1048,0,0
2.5011,0.560489,0,0,0,0,0,16.7635,0,0
2.86194,1.35382,0,0,0,0,0,17.6383,0,0
3.25962,0.544561,0,0,0,0,0,17.7761,0,0
4.89338,0,0,0,0,0,0,18.1265,0,0
6.03931,1.41011,0,0,0,0,0,18.6646,0,0
5.35263,1.06878,0,0.963276,0,0,0,18.8544,0,0
5.80364,1.47108,0,1.83359,0,0,0,19.3381,0,0
5.44903,1.0913,0,0.44672,0,0,0,19.198,0,0
5.71347,0.749963,0,0,0,0,0,20.1404,0,0
6.36331,1.1907,0,0,0,0,0,20.5608,0,0
5.72172,0.937517,0,0,0,0,0,20.2693,0,0
5.54543,0.684331,0,0,0,0,0,19.6501,0,0
4.84849,0,0,0,0,0,0,18.4116,0,0
5.01251,0,0,0,0,0,0,19.3767,0,0
4.58001,0,0,0.10646,0,0,0,19.736,0,0
4.54519,0,0,0.205772,0,0,0,20.3417,0,0
4.89779,0.365514,0,0.393233,0,0,0,20.5745,0,0
4.86498,0,0,0,0,0,0,20.9858,0,0
4.33206,0,0,1.25239,0,0,0,21.9079,0.810883,0
3.72327,0,0,1.41752,0,0,0,21.5283,0.33333,0
3.44655,0,0,1.58265,0,0,0,21.9079,1.04966,0
2.71882,0,0,0.712332,0,0,0,22.1203,0,0
2.34369,0,0,0.194608,0,0,0,22.5135,0,0
1.84761,0,0,0,0,0,0,22.579,0,0
1.82507,0,0,0.260427,0,0,0,22.2309,0,0
2.17766,0,0,0.10646,0,0,0,23.2728,0,0
1.00718,0,0,0,0,0,0,22.3462,0,0
0,0,0,0,0,0,0,21.5709,0,0
0,0,0,0,0,0,0,20.9923,0,0
0,0,0,0,0,0,0,21.8511,0,0
0.601254,0,0,0,0,0,0,22.1788,0,0
0.724221,0,0,0,0,0,0,22.1042,0,0
1.80655,0,0,0,0,0,0,23.0014,0,0
1.50931,0,0,0,0,0,0,22.667,0,0
2.5691,0,0,0,0,0,0,24.0682,0,0
2.88889,0,0,0,0,0,0,23.5236,0.568728,0
2.5691,0,0,0,0,0,0,23.4038,0.392432,0
2.8909,0,0,0,0,0,0,22.9111,1.6488,0
2.83556,0,0,0.546033,0,0,0,22.9495,1.6488,0
3.39102,0,0,0,0,0,0,22.6285,0.969278,0
3.72309,0,0,0,0,0,0,23.0399,1.05743,0
4.71727,0,0,0,0,0,0,23.1958,1.41002,0
5.0268,0,0,0,0,0,0,22.5879,1.41002,0
5.24818,0,0,0,0,0,0,22.9992,0.454912,0
5.24818,0,0,0,0,0,0,22.7529,0.54306,0
5.22564,0,0,0,0,0,0,22.8343,0.958133,0
6.08659,0,0,0.183443,0,0,0,22.7937,1.96458,0
6.71188,0,0,1.32937,0,0,0,23.6548,2.63295,0
6.84309,0,0,1.02143,0,0,0,23.6843,3.46309,0
7.51749,0,0,0.625352,0,0,0,23.4176,3.16184,0
8.84374,0.184548,0,0.229269,0,0,0,23.6053,3.03688,0
9.5612,0.322399,0,0.581862,0,0,0,23.3635,2.67314,0
9.00977,0.487437,0,0.0753018,0,0,0,22.6561,2.40869,0
9.72724,0,0,0.516043,0,0,0,23.0336,2.46003,0
10.8649,0.16862,0,0.131124,0,0,0,23.5941,3.37832,0
11.2749,0.509954,0,0,0,0,0,22.8732,3.29018,0
11.7299,1.7487,0,0,0,0,0,21.7861,1.83185,0
11.9513,1.5724,0,0,0,0,0,21.5533,1.65555,0
12.8225,2.36573,0,0,0,0,0,21.9534,2.68766,0
13.3739,2.55329,0,0.021815,0,0,0,23.0269,4.08351,0
14.6899,2.81773,0,0.286259,0,0,0,24.0191,4.28547,0
14.8825,2.74551,0,0,0,0,0,23.3342,3.37832,0
16.7069,3.43944,0,0,0,0,0,23.1873,2.68766,0
16.8606,4.73915,0.097729,0.0987987,0,0,0,23.6597,4.08351,0
17.2603,4.00677,0.241705,0.252766,0,0,0,23.6484,4.47291,0
16.5982,2.92181,0,0.472552,0,0,0,23.0495,4.27095,0
17.781,3.05966,0.854336,0.825145,0,0,0,23.4337,4.62354,0
18.8325,2.32729,0.854336,0.0764697,0,0,0,23.2122,4.53539,0
19.8698,2.17351,1.16506,0.451391,0,0,0,23.8858,4.28547,0
19.6176,1.42988,0.942485,0,0,0,0,23.7998,3.04025,0
18.236,1.11573,0.808059,0,0,0,0,23.454,1.55626,0
17.2501,2.23914,1.17461,0,0,0,0,24.3015,2.77581,0
16.1903,1.71025,0.747825,0,0,0,0,24.0573,2.24692,0
15.7475,1.49551,1.36046,0,0,0,0,24.1523,2.4857,0
15.4052,1.66055,1.19812,0,0,0,0,24.6471,2.22125,0
14.3434,2.55796,0.831568,0,0,0,0,24.7172,2.28373,0
13.8658,2.91055,1.18416,0,0,0,0,25.3545,1.59307,0
13.0704,2.7727,1.03578,0,0,0,0,24.6607,1.71803,0
12.5949,2.89929,1.23999,0.581862,0,0,0,24.8505,1.71803,0
12.1193,2.16692,1.15184,0.493714,0,0,0,24.3578,3.30132,0
11.2912,1.59959,0.506889,0.141121,0,0,0,23.6572,3.1875,0
10.1843,1.94092,0.200573,0.383236,0,0,0,24.638,3.09936,0
9.40946,1.85277,0.112425,1.12075,0,0,0,24.9679,3.24999,0
8.81094,3.10278,0.316636,1.95757,0,0,0,24.9793,3.42628,0
7.96226,2.17159,0,0.646513,0,0,0,24.3441,3.47424,0
8.19188,2.05626,1.02697,1.1754,0,0,0,24.4052,2.48232,0
8.47887,3.44411,1.97823,2.1227,0,0,0,25.0674,3.09936,0
7.71431,4.65567,2.82739,3.04767,0,0,0,25.5285,3.45195,0
6.69758,4.73256,2.44689,2.03455,0,0,0,24.2968,2.86058,0
6.51102,3.95048,2.29851,1.68196,0,0,0,23.969,1.55288,0
5.52912,3.2453,2.02965,0.976777,0,0,0,23.6503,0.998324,0
5.52912,3.80137,2.62833,0,0,0,0,25.1622,0.281995,0
6.42489,2.56263,3.00884,0.162282,0,0,0,25.8198,0,0
4.79113,2.11063,3.03234,0,0,0,0,25.1282,0,0
5.52912,3.67478,4.75858,0.151118,0,0,0,26.1113,0.608919,0
4.63334,2.63952,3.98361,0.723497,0,0,0,25.4921,0,0
4.75429,3.46004,3.86755,1.14191,0,0,0,25.4153,0,0
4.0799,2.76611,3.26887,0.712332,0,0,0,24.9226,0,0
3.15333,1.63144,1.55659,0.172279,0,0,0,23.788,0,0
3.33164,1.27885,1.08794,0,0,0,0,23.1688,0,0
4.30329,0.948776,1.32447,0,0,0,0,23.1982,0.293139,0
4.06139,0.557738,1.04607,0,0,0,0,22.4524,0.594396,0
3.37673,0.293294,0.168993,0.238098,0,0,0,21.0557,1.28506,0
2.52805,0,0,0,0,0,0,19.4081,0.730501,0
2.61821,0,0,0,0,0,0,18.2013,0.289761,0
2.11186,0,0,0,0,0,0,17.3696,0.539682,0
1.99091,0,0,0,0,0,0,16.6803,0,0
1.54816,0,0,0,0,0,0,16.3955,0.778458,0
2.20001,0,0,0,0,0,0,16.4769,0,0
1.8597,0,0,0,0,0,0,15.3152,0,0
1.31853,0,0,0,0,0,0,14.5446,0,0
1.76953,0,0,0,0,0,0,14.6554,0,0
2.86415,0,0,0,0,0,0,14.9334,0,0
4.02437,0,0,0,0,0,0,14.6397,0,0
4.33591,0,0,0,0,0,0,13.939,0,0
5.78311,0,0,0,0,0,0,14.4679,0,0
5.861,0,0,0,0,0,0,14.1764,0,0
6.1828,0,0,0,0,0,0,13.3673,0,0
6.52513,0,0,0,0,0,0,12.6645,0,0
5.76057,0,0,0.655342,0,0,0,12.2916,0,0
4.6557,0,0,0,0,0,0,12.2984,0,0
5.11898,0,0,0,0,0,0,12.1832,0,0
3.85008,0,0,0,0,0,0,11.0169,0,0
3.33971,0,0,0,0,0,0,10.6554,0,0
2.52182,0,0,0,0,0,0,10.1243,0,0
2.64478,0,0,0,0,0,0,9.57507,0,0
2.50129,0,0,0,0,0,0,9.51856,0,0
2.44393,0,0,0,0,0,0,9.32653,0,0
3.18192,0,0,0.0829628,0,0,0,9.71532,0,0
4.29907,0,0,0,0,0,0,9.94813,0,0
4.52045,0,0,0.259259,0,0,0,10.6826,0,0
4.76235,0,0,0.865132,0,0,0,11.0985,0,0
3.75791,0,0,0.248095,0,0,0,11.0826,0,0
4.71929,0,0,0.842803,0,0,0,12.0295,0,0
4.82998,0,0,0.655342,0,0,0,11.6453,0,0
4.65368,0,0,0.974441,0,0,0,12.1696,0,0
4.12278,0,0,0.908622,0,0,0,12.2713,0,0
4.00182,0,0,0,0,0,0,12.0001,0,0
3.75992,0,0,0,0,0,0,11.4893,0,0
3.13061,0,0,0,0,0,0,10.6373,0,0
3.36225,0,0,0,0,0,0,10.9966,0,0
3.25357,0,0,0,0,0,0,10.3095,0,0
2.63452,0,0,0,0,0,0,9.62025,0,0
2.63251,0,0,0,0,0,0,9.78301,0,0
2.57716,0,0,0,0,0,0,9.49826,0,0
2.47673,0,0,0,0,0,0,9.25648,0,0
2.60795,0,0,0,0,0,0,9.07798,0,0
1.81462,0,0,0,0,0,0,8.60104,0,0
1.31652,0,0,0,0,0,0,8.08805,0,0
0.623608,0,0,0,0,0,0,7.27661,0,0
0.115245,0,0,0,0,0,0,6.82233,0,0
0.842971,0,0,0,0,0,0,6.75685,0,0
0.566249,0,0,0,0,0,0,7.08457,0,0
0.344871,0,0,0,0,0,0,6.36365,0,0
0.676938,0,0,0,0,0,0,6.26196,0,0
0.754823,0,0,0,0,0,0,5.80092,0,0
0.490379,0,0,0,0,0,0,4.99861,0,0
0,0,0,0,0,0,0,4.01324,0,0
0,0,0,0,0,0,0,3.21314,0,0
0,0,0,0,0,0,0,1.85708,0,0
0,0,0,0,0,0,0,1.39603,0,0
0,0,0,0,0,0,0,1.38926,0,0
0,0,0,0,0,0,0,1.50228,0,0
0,0,0,0,0,0,0,0.164317,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.5202,0,0,0,0,0,0
0,0,0,1.12607,0,0,0,0,0,0
0,0,0,1.98522,0,0,0,0,0,0
0,0,0,1.74311,0,0,0,0,0,0
0,0,0,1.74311,0,0,0,0,0,0
0,0,0,2.53644,0,0,0,0,0,0
0,0,0,2.56994,0,0,0,0,0,0
0,0,0,1.74428,0,0,0,0,0,0
0,0,0,2.1192,0,0,0,0,0,0
0,0,0,3.13232,0,0,0,0,0,0
0,0,0,3.48491,0,0,0,0,0,0
0,0,0,3.54073,0,0,0,0,0,0
0,0,0,4.78597,0,0,0,0,0,0
0,0,0,5.29253,0,0,0,0,0.961512,0
0,0,0,4.09312,0,0,0,0,1.57855,0
0,0,0,3.2563,0,0,0,0,0.98718,0
0,0,0,4.12661,0,0,0,0,1.39111,0
0,0,0,4.57852,0,0,0,0,1.44244,0
0,0,0,3.58773,0,0,0,0,0,0
0,0,0,3.15815,0,0,0,0,0,0
0,0,0,2.7844,0,0,0,0,0,0
0,0,0,2.38831,0,0,0,0,0.476193,0
0,0,0,3.19281,0,0,0,1.4335,1.44582,0
0,0,0,2.20202,0,0,0,2.32616,1.20705,0
0,0,0,1.3652,0,0,0,3.70016,0.791973,0
0.122036,0,0,1.0461,0,0,0,5.20529,1.44582,0
0.564792,0,0,1.0461,0,0,0,6.21774,2.40093,0
0.929663,0,0,1.0461,0,0,0,7.698,1.6846,0
0.720563,0,0,0.616523,0,0,0,8.19965,1.18138,0
1.20639,0,0,1.37636,0,0,0,10.0393,1.92338,0
1.15306,0,0,0.935622,0,0,0,10.1432,1.96019,0
0.402789,0,0,0.736997,0,0,0,11.1013,1.4313,0
1.22269,0,0,0.890964,0,0,0,12.2154,1.73256,0
0.968512,0,0,1.95874,0,0,0,13.1714,2.59951,0
1.06069,0,0,1.16541,0,0,0,13.0176,1.08985,0
2.46684,0,0,0.658845,0,0,0,13.9351,2.34621,0
2.89732,0,0,0.41673,0,0,0,15.0357,1.24048,0
2.86653,0,0,0.394401,0,0,0,15.1577,0.887887,0
2.9567,0,0,0,0,0,0,15.2299,0.774071,0
3.75406,0,0,0,0,0,0,15.9509,0.685923,0
3.96518,0,0,0,0,0,0,16.091,1.3141,0
4.76254,0,0,0,0,0,0,16.2876,1.3141,0
4.79534,0,0,0,0,0,0,16.8389,1.13781,0
4.48582,0,0,0,0,0,0,17.7746,1.28844,0
5.05154,0,0,0,0,0,0,18.1497,1.82847,0
6.06827,0,0,0.107627,0,0,0,19.9193,3.13617,0
6.29991,0,0,0.537204,0,0,0,20.5453,2.11858,0
6.76722,0,0,0,0,0,0,20.1362,2.06725,0
7.63019,0,0,0.00831483,0,0,0,20.3644,1.82847,0
7.4867,0,0,0.074134,0,0,0,20.4277,2.3685,0
8.02988,0,0,0,0,0,0,20.0186,2.58161,0
7.67729,0,0,0,0,0,0,20.8095,1.60084,0
7.74491,0,0,0,0,0,0,20.2988,1.51269,0
7.61168,0,0,0,0,0,0,20.3485,1.68899,0
8.15083,0,0,0.327414,0,0,0,21.0605,0.307662,0
8.46036,0,0,0.0852985,0,0,0,21.2435,0.873364,0
9.00354,0,0,0.327414,0,0,0,20.6559,0.546439,0
9.1573,0,0,0.745826,0,0,0,20.9836,1.35092,0
10.6496,0,0,1.18657,0,0,0,21.8425,1.55288,0
10.2088,0,0,0.75699,0,0,0,21.5531,0.572107,0
11.2912,0,0,0,0,0,0,22.6131,0.234037,0
12.5088,0,0,0,0,0,0,23.0561,0.083409,0
12.9187,0,0,0,0,0,0,22.6267,0,0
13.7161,0,0,0,0,0,0,22.3803,0,0
13.9805,0,0,0.306253,0,0,0,22.6064,0,0
13.8473,0,0,0.394401,0,0,0,22.5431,0,0
15.0854,0,0,0.912125,0,0,0,22.4776,0,0
15.5384,0,0,1.50683,0,0,0,22.1477,0,0
14.3659,0,0,1.00027,0,0,0,21.307,0,0
14.6549,0,0,0.405565,0,0,0,20.8843,0,0
14.8517,0,0,0.681174,0,0,0,21.0403,0,0
14.6078,0.586844,0,0,0,0,0,20.5522,0,0
14.7062,0.636547,0,0,0,0,0,20.0957,0,0
14.5074,0,0,0,0,0,0,19.4313,0,0
14.5402,0,0,0,0,0,0,18.8618,0,0
14.2409,0.16862,0,0,0,0,0,18.4754,0,0
15.479,0.609361,0,0,0,0,0,19.0427,0,0
15.0588,0.521213,0,0,0,0,0,19.5556,0,0
14.8272,1.02758,0,0,0,0,0,19.7274,0,0
15.2905,1.72151,0,0,0,0,0,19.6257,0,0
15.9198,3.23596,0,0,0,0,0,20.5591,0,0
15.7968,3.71514,0,0,0,0,0,19.906,0,0
15.4114,4.34811,0,0,0,0,0,19.6303,0,0
15.145,3.66544,0,1.00144,0,0,0,19.8947,0,0
15.188,4.57411,0,2.25668,0,0,0,19.6348,0,0
14.8662,4.7504,0,2.5981,0,0,0,19.7659,0,0
14.5116,4.9267,0,4.09546,0,0,0,19.253,0,0
12.4125,3.83048,0,3.37911,0,0,0,18.3398,0,0
12.5643,4.53566,0,3.42376,0,0,0,19.045,0,0
12.6094,4.01803,0,3.66588,0,0,0,18.7422,0,0
11.6029,3.84174,0,2.99419,0,0,0,18.4077,0.200603,0
10.7419,4.60129,0,3.78635,0,0,0,17.7839,0,0
10.4693,3.75826,0,3.05884,0,0,0,16.6809,0,0
10.338,3.747,0,3.11349,0,0,0,16.3102,0,0
9.46279,5.38804,0,3.63122,0,0,0,16.7645,0.197225,0
9.26396,4.95856,0,4.95227,0,0,0,16.6696,0,0
9.0774,5.03545,0,5.26021,0,0,0,16.317,0,0
9.17782,5.20048,0,4.50037,0,0,0,16.0141,0.296518,0
7.79623,5.31582,0,5.45766,0,0,0,15.77,0.722735,0
7.22226,3.46004,0,6.59126,0,0,0,15.7022,1.2371,0
6.10913,2.52885,0,7.42691,0,0,0,14.8907,0.4181,0
5.5249,2.21471,0,6.07237,0,0,0,14.2104,1.32187,0
5.18257,1.35574,0,7.06316,0,0,0,12.9267,1.71128,0
5.11696,1.86211,0,5.8849,0,0,0,12.529,1.44683,0
4.34415,1.63611,0,6.43495,0,0,0,10.9876,2.19997,0
2.28394,0,0,4.41871,0,0,0,8.92183,2.4097,0
1.28976,0,0,3.94448,0,0,0,8.61441,1.52822,0
0.926902,0,0,3.99913,0,0,0,7.85272,1.95444,0
0.0331429,0,0,4.72548,0,0,0,7.61991,2.49447,0
0,0,0,4.51569,0,0,0,7.04805,2.26684,0
0,0,0,3.87632,0,0,0,6.19821,1.29721,0
0,0,0,2.48828,0,0,0,4.93706,0.716987,0
0,0,0,1.68495,0,0,0,5.17664,0.893283,0
0,0,0,1.61913,0,0,0,6.29533,2.52791,0
0,0,0,1.37702,0,0,0,6.11006,2.37728,0
0,0,0,0.221094,0,0,0,6.14847,1.89973,0
0,0,0,1.46516,0,0,0,6.04678,1.5728,0
0,0,0,0.110617,0,0,0,4.9868,0.0263251,0
0,0,0,0,0,0,0,4.72236,0.41573,0
0,0,0,0,0,0,0,5.42298,0,0
0,0,0,0,0,0,0,5.48626,0,0
0,0,0,0,0,0,0,5.27376,0,0
0,0,0,0.859292,0,0,0,5.64445,0,0
0,0,0,1.454,0,0,0,6.85129,0,0
0,0,0,1.57564,0,0,0,8.22766,0.518402,0
0,0,0,2.21501,0,0,0,9.95663,1.24925,0
0,0,0,1.41168,0,0,0,10.5058,1.12429,0
0,0,0,0.828135,0,0,0,10.6776,1.03615,0
0,0,0,1.09258,0,0,0,11.5431,1.77814,0
0,0,0,0,0,0,0,10.8855,1.84062,0
0,0,0,0.653006,0,0,0,12.7591,1.9433,0
0,0,0,0.93978,0,0,0,13.5095,1.36645,0
0,0,0,0.995602,0,0,0,14.5107,0.337718,0
0,0,0,0.158779,0,0,0,14.3163,0,0
0,0,0,0,0,0,0,15.5458,0,0
